,Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
178,James Ennis,SF,27.0,72.0,22.0,22.3,2.5,5.3,0.7,2.1,1.8,3.2,1.3,1.6,1.0,2.1,1.0,0.7,0.3,0.8,1.9
181,Tyler Ennis,PG,23.0,54.0,11.0,12.6,1.7,4.1,0.3,1.0,1.5,3.1,0.4,0.5,0.4,1.4,1.9,0.6,0.2,0.7,1.4
182,Jawun Evans,PG,21.0,48.0,4.0,16.2,1.9,5.3,0.3,1.1,1.5,4.1,0.8,1.0,0.2,1.6,2.1,0.8,0.1,0.9,2.0
183,Jeremy Evans,SF,30.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
184,Tyreke Evans,PG,28.0,52.0,32.0,30.9,7.0,15.6,2.2,5.5,4.8,10.1,3.2,4.0,0.8,4.3,5.2,1.1,0.3,2.3,1.8
185,Dante Exum,PG,22.0,14.0,0.0,16.8,3.0,6.2,0.4,1.3,2.6,4.9,1.8,2.2,0.3,1.6,3.1,0.6,0.2,1.4,1.4
186,Kenneth Faried,PF,28.0,32.0,7.0,14.4,2.4,4.6,0.0,0.0,2.4,4.6,1.1,1.6,2.1,2.7,0.6,0.4,0.4,0.7,1.6
187,Derrick Favors,C,26.0,77.0,77.0,28.0,5.1,9.1,0.2,0.8,4.9,8.3,1.8,2.8,2.6,4.6,1.3,0.7,1.1,1.1,2.1
188,Kay Felder,PG,22.0,16.0,0.0,8.8,1.3,4.4,0.3,1.2,1.1,3.2,0.7,0.8,0.2,0.9,1.3,0.2,0.1,1.0,0.7
191,Cristiano Felicio,C,25.0,55.0,16.0,17.8,2.3,3.9,0.0,0.0,2.3,3.9,1.0,1.5,1.5,2.7,1.0,0.3,0.2,1.0,1.9
192,Raymond Felton,PG,33.0,82.0,2.0,16.6,2.7,6.7,1.0,2.8,1.7,3.9,0.4,0.5,0.3,1.6,2.5,0.6,0.2,0.9,1.1
193,Terrance Ferguson,SG,19.0,61.0,12.0,12.5,1.1,2.8,0.7,2.0,0.5,0.8,0.1,0.2,0.3,0.5,0.3,0.4,0.2,0.2,1.4
194,Yogi Ferrell,SG,24.0,82.0,21.0,27.8,3.8,8.9,1.6,4.4,2.2,4.5,1.0,1.3,0.3,2.7,2.5,0.8,0.1,1.0,1.9
195,Dorian Finney-Smith,PF,24.0,21.0,13.0,21.3,2.2,5.8,1.0,3.2,1.2,2.6,0.5,0.7,1.0,2.5,1.2,0.5,0.2,1.0,2.0
196,Bryn Forbes,SG,24.0,80.0,12.0,19.0,2.6,6.2,1.1,2.9,1.5,3.4,0.6,0.9,0.2,1.2,1.0,0.4,0.0,0.5,1.4
197,Evan Fournier,SF,25.0,57.0,57.0,32.2,6.5,14.1,2.2,5.9,4.2,8.2,2.6,3.0,0.4,2.8,2.9,0.8,0.3,1.7,2.4
198,De'Aaron Fox,PG,20.0,73.0,60.0,27.8,4.5,10.9,0.6,2.1,3.8,8.8,1.9,2.7,0.5,2.3,4.4,1.0,0.3,2.4,2.2
199,Tim Frazier,PG,27.0,59.0,11.0,14.2,1.2,2.9,0.3,0.9,0.9,2.0,0.4,0.5,0.3,1.6,3.3,0.8,0.1,1.0,1.6
200,Channing Frye,C,34.0,53.0,1.0,13.1,2.0,4.0,0.7,2.2,1.2,1.8,0.3,0.4,0.2,2.3,0.7,0.3,0.2,0.4,1.3
203,Markelle Fultz,SG,19.0,14.0,0.0,18.1,3.2,7.9,0.0,0.1,3.2,7.9,0.7,1.5,0.8,2.3,3.8,0.9,0.3,1.2,1.6
204,Danilo Gallinari,SF,29.0,21.0,21.0,32.0,4.9,12.2,1.7,5.3,3.1,6.9,3.9,4.1,0.4,4.4,2.0,0.6,0.5,1.2,1.4
205,Langston Galloway,SG,26.0,58.0,2.0,14.9,2.2,5.9,1.3,3.8,0.9,2.1,0.6,0.7,0.2,1.4,1.0,0.6,0.1,0.3,0.7
206,Marc Gasol,C,33.0,73.0,73.0,33.0,5.9,14.2,1.5,4.4,4.5,9.8,3.8,4.6,1.1,7.0,4.2,0.7,1.4,2.7,2.5
207,Pau Gasol,C,37.0,77.0,63.0,23.5,3.7,8.1,0.6,1.6,3.2,6.6,2.1,2.7,1.7,6.4,3.1,0.3,1.0,1.4,1.6
208,Rudy Gay,PF,31.0,57.0,6.0,21.6,4.4,9.4,0.6,2.1,3.8,7.4,2.0,2.5,1.3,3.8,1.3,0.8,0.7,1.4,1.7
209,Paul George,SF,27.0,79.0,79.0,36.6,7.3,16.9,3.1,7.7,4.2,9.3,4.3,5.2,0.9,4.7,3.3,2.0,0.5,2.7,2.9
210,Marcus Georges-Hunt,SG,23.0,42.0,0.0,5.3,0.5,1.1,0.1,0.4,0.4,0.8,0.3,0.5,0.2,0.2,0.2,0.1,0.0,0.1,0.8
211,Jonathan Gibson,PG,30.0,4.0,0.0,10.0,3.5,5.8,1.5,3.0,2.0,2.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.8,1.3
212,Taj Gibson,PF,32.0,82.0,82.0,33.2,5.2,9.0,0.1,0.4,5.1,8.6,1.7,2.3,2.4,4.8,1.2,0.8,0.7,1.1,2.7
213,Manu Ginobili,SG,40.0,65.0,0.0,20.0,3.1,7.1,1.0,3.0,2.1,4.2,1.7,2.0,0.3,1.9,2.5,0.7,0.2,1.6,1.9
214,Rudy Gobert,C,25.0,56.0,56.0,32.4,4.9,7.9,0.0,0.0,4.9,7.9,3.6,5.3,2.9,7.8,1.4,0.8,2.3,1.9,2.7
215,Aaron Gordon,PF,22.0,58.0,57.0,32.9,6.5,14.9,2.0,5.9,4.5,9.0,2.7,3.9,1.5,6.4,2.3,1.0,0.8,1.8,1.9
216,Eric Gordon,SG,29.0,69.0,30.0,31.2,6.0,14.1,3.2,8.8,2.9,5.2,2.8,3.5,0.4,2.1,2.2,0.6,0.4,1.9,1.7
217,Marcin Gortat,C,33.0,82.0,82.0,25.3,3.5,6.8,0.0,0.0,3.5,6.8,1.3,2.0,2.2,5.4,1.8,0.5,0.7,1.2,2.1
218,Treveon Graham,SG,24.0,63.0,2.0,16.7,1.5,3.5,0.6,1.5,0.9,2.0,0.7,0.9,0.7,1.3,0.9,0.5,0.0,0.4,1.7
219,Jerami Grant,PF,23.0,81.0,1.0,20.3,3.0,5.6,0.4,1.4,2.6,4.3,2.0,3.0,1.1,2.9,0.7,0.4,1.0,0.7,1.9
220,Jerian Grant,PG,25.0,74.0,26.0,22.8,2.8,6.8,0.8,2.5,2.0,4.3,1.9,2.5,0.4,1.9,4.6,0.9,0.1,1.2,1.8
221,Josh Gray,PG,24.0,5.0,0.0,17.2,2.2,8.2,0.6,2.6,1.6,5.6,1.4,2.2,0.4,1.6,2.4,1.6,0.4,1.4,1.6
222,Danny Green,SG,30.0,70.0,60.0,25.6,3.1,8.0,1.7,4.6,1.4,3.4,0.7,0.9,0.6,3.0,1.6,0.9,1.1,1.1,1.7
223,Draymond Green,PF,27.0,70.0,70.0,32.7,4.0,8.8,1.1,3.7,2.9,5.2,1.9,2.5,1.1,6.6,7.3,1.4,1.3,2.9,2.6
224,Gerald Green,SG,32.0,41.0,2.0,22.7,4.1,10.1,2.7,7.3,1.4,2.8,1.2,1.5,0.4,2.9,0.6,0.6,0.4,0.8,2.1
225,JaMychal Green,PF,27.0,55.0,54.0,28.0,4.1,8.9,0.8,2.3,3.3,6.6,1.5,2.0,2.7,5.8,1.4,0.6,0.5,1.4,2.8
226,Jeff Green,PF,31.0,78.0,13.0,23.4,3.8,7.9,0.7,2.2,3.1,5.7,2.6,3.0,0.8,2.4,1.3,0.5,0.4,1.0,1.9
227,Blake Griffin,PF,28.0,58.0,58.0,34.0,7.5,17.2,1.9,5.6,5.6,11.6,4.5,5.7,1.3,6.1,5.8,0.7,0.3,2.8,2.4
230,Daniel Hamilton,SG,22.0,6.0,0.0,4.7,0.8,1.8,0.3,0.8,0.5,1.0,0.0,0.0,0.0,0.8,1.3,0.2,0.0,0.3,0.3
231,Tim Hardaway,SG,25.0,57.0,54.0,33.1,6.3,15.0,2.3,7.2,4.0,7.8,2.6,3.1,0.6,3.4,2.7,1.1,0.2,1.6,2.2
232,James Harden,SG,28.0,72.0,72.0,35.4,9.0,20.1,3.7,10.0,5.4,10.1,8.7,10.1,0.6,4.8,8.8,1.8,0.7,4.4,2.3
233,Maurice Harkless,SF,24.0,59.0,36.0,21.4,2.5,5.0,0.8,2.0,1.7,3.0,0.7,1.0,0.8,2.0,0.9,0.8,0.7,0.7,1.7
234,Montrezl Harrell,C,24.0,76.0,3.0,17.0,4.6,7.2,0.0,0.1,4.6,7.1,1.8,2.9,1.4,2.7,1.0,0.5,0.7,0.9,1.9
235,Devin Harris,PG,34.0,71.0,1.0,18.9,2.6,6.4,1.1,3.2,1.5,3.2,2.0,2.4,0.2,1.6,2.1,0.7,0.2,1.1,2.2
238,Gary Harris,SG,23.0,67.0,65.0,34.4,6.6,13.6,2.3,5.9,4.2,7.7,2.0,2.4,0.6,2.1,2.9,1.8,0.2,1.8,1.8
239,Joe Harris,SG,26.0,78.0,14.0,25.3,3.9,8.0,1.9,4.6,2.0,3.4,1.1,1.3,0.7,2.7,1.6,0.4,0.3,1.2,2.0
240,Tobias Harris,PF,25.0,80.0,80.0,33.4,7.0,15.3,2.3,5.6,4.7,9.7,2.2,2.7,0.7,4.7,2.4,0.9,0.4,1.3,2.1
243,Aaron Harrison,SG,23.0,9.0,3.0,25.9,2.1,7.7,1.0,4.8,1.1,2.9,1.4,1.9,0.4,2.2,1.2,1.0,0.2,0.3,3.0
244,Andrew Harrison,PG,23.0,56.0,46.0,23.7,3.2,7.7,0.8,2.5,2.4,5.1,2.2,2.8,0.4,1.9,3.2,0.7,0.5,1.4,2.5
245,Shaquille Harrison,PG,24.0,23.0,2.0,16.7,2.6,5.4,0.3,1.1,2.3,4.3,1.2,1.7,0.4,2.3,2.4,1.1,0.3,1.0,1.8
246,Josh Hart,SG,22.0,63.0,23.0,23.2,2.8,6.0,1.2,3.1,1.6,2.8,1.0,1.5,0.7,3.5,1.3,0.7,0.3,0.7,1.7
247,Udonis Haslem,C,37.0,14.0,0.0,5.1,0.2,1.1,0.1,0.6,0.1,0.5,0.1,0.1,0.2,0.5,0.4,0.0,0.1,0.1,0.2
248,Nigel Hayes,SF,23.0,9.0,0.0,13.6,1.2,3.7,0.4,1.8,0.8,1.9,0.1,0.3,0.4,2.0,0.7,0.2,0.3,0.2,0.9
252,Gordon Hayward,SF,27.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
253,Reggie Hearn,SG,26.0,3.0,0.0,2.3,0.3,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Myke Henry,SF,25.0,20.0,0.0,18.9,2.1,5.5,1.0,2.9,1.1,2.6,0.3,0.5,0.5,1.4,1.1,1.6,0.3,1.0,1.4
255,John Henson,C,27.0,76.0,69.0,25.9,3.8,6.6,0.0,0.1,3.8,6.5,1.2,2.1,2.0,4.8,1.5,0.6,1.4,1.1,2.7
256,Juan Hernangomez,PF,22.0,25.0,3.0,11.1,1.2,3.0,0.6,2.0,0.6,1.0,0.4,0.5,0.7,1.4,0.5,0.2,0.1,0.4,1.0
257,Willy Hernangomez,C,23.0,48.0,1.0,10.3,1.9,3.4,0.1,0.3,1.8,3.2,1.2,1.9,1.3,2.5,0.7,0.4,0.3,0.7,1.3
260,Mario Hezonja,SF,22.0,75.0,30.0,22.1,3.6,8.2,1.2,3.6,2.4,4.7,1.1,1.4,0.5,3.2,1.4,1.1,0.4,1.1,1.8
261,Isaiah Hicks,PF,23.0,18.0,0.0,13.3,1.8,4.0,0.1,0.5,1.7,3.5,0.7,1.0,0.6,1.7,0.9,0.1,0.2,0.9,2.5
262,Buddy Hield,SG,24.0,80.0,12.0,25.3,5.2,11.7,2.2,5.1,3.0,6.6,0.9,1.0,0.7,3.2,1.9,1.1,0.3,1.6,1.9
263,Nene Hilario,C,35.0,52.0,4.0,14.6,2.6,4.6,0.0,0.0,2.6,4.6,1.3,2.1,1.0,2.3,0.9,0.5,0.3,0.7,2.4
264,George Hill,PG,31.0,67.0,60.0,27.0,3.5,7.7,1.3,3.1,2.3,4.6,1.6,2.1,0.6,2.1,2.8,0.9,0.4,1.3,1.9
267,Solomon Hill,SF,26.0,12.0,1.0,15.6,0.9,3.4,0.3,1.8,0.6,1.7,0.3,0.5,0.8,2.3,1.8,0.6,0.1,0.8,1.8
268,Darrun Hilliard,SG,24.0,14.0,0.0,6.8,0.4,1.4,0.0,0.4,0.4,0.9,0.4,0.5,0.0,0.5,0.8,0.1,0.0,0.3,0.5
269,Jrue Holiday,SG,27.0,81.0,81.0,36.1,7.6,15.4,1.5,4.4,6.1,11.0,2.3,2.9,0.8,3.7,6.0,1.5,0.8,2.6,2.5
270,Justin Holiday,SG,28.0,72.0,72.0,31.5,4.0,10.9,2.2,6.2,1.8,4.6,1.9,2.3,0.4,3.6,2.1,1.1,0.4,1.3,1.9
271,John Holland,SF,29.0,24.0,0.0,7.3,0.7,2.5,0.5,1.5,0.3,1.0,0.4,0.5,0.3,0.8,0.2,0.3,0.1,0.3,0.4
272,Rondae Hollis-Jefferson,SF,23.0,68.0,59.0,28.2,5.0,10.6,0.2,0.8,4.8,9.9,3.7,4.6,1.5,5.3,2.5,1.0,0.7,1.8,2.1
273,Richaun Holmes,C,24.0,48.0,2.0,15.5,2.8,5.0,0.1,0.6,2.7,4.4,0.8,1.2,1.2,3.2,1.3,0.4,0.6,0.5,2.0
274,Rodney Hood,SG,25.0,60.0,23.0,26.9,5.4,12.5,2.1,5.6,3.3,7.0,1.9,2.2,0.4,2.4,1.6,0.8,0.2,1.2,1.8
277,Scotty Hopson,SG,28.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
278,Al Horford,C,31.0,72.0,72.0,31.6,5.1,10.5,1.3,3.1,3.8,7.3,1.3,1.7,1.4,5.9,4.7,0.6,1.1,1.8,1.9
279,Danuel House,SG,24.0,23.0,3.0,17.5,2.4,5.6,0.7,2.5,1.8,3.1,1.1,1.3,0.6,2.7,1.1,0.3,0.3,0.5,1.0
280,Dwight Howard,C,32.0,81.0,81.0,30.4,6.2,11.2,0.0,0.1,6.2,11.2,4.1,7.2,3.1,9.3,1.3,0.6,1.6,2.6,3.1
281,Josh Huestis,PF,26.0,69.0,10.0,14.2,0.9,2.6,0.5,1.7,0.4,1.0,0.1,0.3,0.6,1.7,0.3,0.2,0.6,0.4,1.2
282,R.J. Hunter,SG,24.0,5.0,1.0,9.0,1.4,4.0,0.6,2.8,0.8,1.2,0.4,0.4,0.0,1.0,0.6,0.6,0.0,0.4,1.4
283,Vince Hunter,PF,23.0,4.0,0.0,1.8,0.8,1.3,0.0,0.0,0.8,1.3,0.0,0.0,0.5,0.3,0.0,0.0,0.3,0.3,0.0
284,Serge Ibaka,PF,28.0,76.0,76.0,27.5,5.0,10.3,1.4,3.9,3.6,6.4,1.2,1.6,1.0,5.3,0.8,0.4,1.3,1.2,2.8
285,Andre Iguodala,SF,34.0,64.0,7.0,25.3,2.3,5.0,0.5,1.8,1.8,3.2,0.9,1.4,0.8,3.1,3.3,0.8,0.6,1.0,1.5
286,Ersan Ilyasova,PF,30.0,69.0,43.0,25.1,4.0,8.9,1.3,3.7,2.7,5.2,1.5,2.0,1.7,4.2,1.3,0.9,0.4,1.0,2.3
289,Joe Ingles,SF,30.0,82.0,81.0,31.4,4.1,8.8,2.5,5.7,1.6,3.1,0.8,1.0,0.3,3.9,4.8,1.1,0.2,1.9,2.2
290,Andre Ingram,SG,32.0,2.0,0.0,32.0,4.0,8.5,2.5,4.5,1.5,4.0,1.5,1.5,0.5,2.5,3.5,1.5,1.5,1.5,1.5
291,Brandon Ingram,SF,20.0,59.0,59.0,33.5,6.1,12.9,0.7,1.8,5.4,11.1,3.3,4.8,1.0,4.4,3.9,0.8,0.7,2.5,2.8
292,Kyrie Irving,PG,25.0,60.0,60.0,32.2,8.9,18.1,2.8,6.8,6.1,11.3,3.9,4.4,0.6,3.2,5.1,1.1,0.3,2.3,2.0
293,Jonathan Isaac,PF,20.0,27.0,10.0,19.9,2.0,5.4,0.6,1.7,1.4,3.7,0.7,0.9,0.6,3.1,0.7,1.2,1.1,1.0,1.8
294,Wesley Iwundu,SF,23.0,62.0,12.0,16.5,1.5,3.5,0.1,0.7,1.4,2.8,0.5,0.8,0.6,1.6,0.9,0.5,0.2,0.5,1.3
295,Jarrett Jack,PG,34.0,62.0,56.0,25.0,3.0,7.1,0.4,1.4,2.6,5.8,1.0,1.2,0.4,2.7,5.6,0.6,0.1,1.9,1.6
296,Aaron Jackson,PG,31.0,1.0,0.0,35.0,3.0,9.0,1.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0
297,Demetrius Jackson,PG,23.0,15.0,0.0,5.3,0.5,1.2,0.1,0.5,0.4,0.7,0.1,0.1,0.3,0.5,0.6,0.3,0.1,0.7,0.5
300,Josh Jackson,SF,20.0,77.0,35.0,25.4,5.1,12.1,0.7,2.8,4.3,9.3,2.3,3.6,1.2,3.3,1.5,1.0,0.5,1.9,2.8
301,Justin Jackson,SF,22.0,68.0,41.0,22.1,2.7,6.2,0.8,2.7,1.9,3.4,0.4,0.5,0.4,2.4,1.1,0.4,0.2,0.6,1.2
302,Reggie Jackson,PG,27.0,45.0,45.0,26.7,5.5,12.8,1.2,3.8,4.3,9.1,2.5,3.0,0.6,2.1,5.3,0.6,0.1,2.2,1.9
303,LeBron James,PF,33.0,82.0,82.0,36.9,10.5,19.3,1.8,5.0,8.6,14.3,4.7,6.5,1.2,7.5,9.1,1.4,0.9,4.2,1.6
304,Mike James,PG,27.0,36.0,10.0,19.1,3.4,8.9,0.7,2.7,2.7,6.2,1.8,2.3,0.4,2.1,3.5,0.8,0.2,1.4,1.3
307,Al Jefferson,C,33.0,36.0,1.0,13.4,3.1,5.8,0.0,0.1,3.1,5.7,0.8,1.0,0.8,3.1,0.8,0.4,0.6,0.6,1.8
308,Richard Jefferson,SF,37.0,20.0,0.0,8.2,0.6,1.4,0.1,0.4,0.5,1.0,0.2,0.4,0.1,0.8,0.8,0.1,0.1,0.3,0.6
309,Brandon Jennings,PG,28.0,14.0,0.0,14.6,1.9,5.1,0.6,2.4,1.3,2.8,0.7,0.7,0.4,1.9,3.1,0.4,0.3,1.3,0.8
310,Jonas Jerebko,PF,30.0,74.0,19.0,15.3,2.1,4.6,0.9,2.1,1.3,2.5,0.6,0.8,0.7,2.6,0.6,0.3,0.2,0.4,1.7
311,Amir Johnson,C,30.0,74.0,18.0,15.8,1.9,3.5,0.1,0.4,1.8,3.1,0.7,1.1,1.7,2.8,1.6,0.6,0.6,0.7,2.6
312,Brice Johnson,PF,23.0,18.0,0.0,5.4,1.1,2.3,0.0,0.1,1.1,2.3,0.2,0.3,0.5,1.2,0.1,0.5,0.3,0.3,0.7
315,Dakari Johnson,C,22.0,31.0,6.0,5.2,0.7,1.3,0.0,0.0,0.7,1.3,0.4,0.6,0.5,0.6,0.3,0.2,0.3,0.1,0.9
316,James Johnson,PF,30.0,73.0,41.0,26.6,4.2,8.4,0.8,2.5,3.5,5.9,1.5,2.2,0.8,4.1,3.8,1.0,0.7,1.9,2.6
317,Joe Johnson,SF,36.0,55.0,4.0,21.9,2.7,6.5,0.7,2.6,1.9,3.9,0.7,0.8,0.3,2.9,1.5,0.3,0.1,0.9,1.2
320,Omari Johnson,PF,28.0,4.0,0.0,18.8,2.3,5.3,1.0,3.0,1.3,2.3,0.0,0.0,1.0,1.8,1.8,0.5,0.0,0.8,1.5
321,Stanley Johnson,SF,21.0,69.0,50.0,27.4,3.0,8.1,1.0,3.4,2.1,4.7,1.6,2.1,0.5,3.2,1.6,1.4,0.2,1.1,2.4
322,Tyler Johnson,PG,25.0,72.0,39.0,28.5,4.3,9.9,1.7,4.5,2.6,5.4,1.5,1.8,0.5,3.0,2.3,0.8,0.5,1.1,2.1
323,Wesley Johnson,SF,30.0,74.0,40.0,20.1,2.0,5.0,0.8,2.4,1.2,2.6,0.6,0.8,0.4,2.5,0.8,1.0,0.8,0.7,2.0
324,Nikola Jokic,C,22.0,75.0,73.0,32.6,6.7,13.5,1.5,3.7,5.2,9.7,3.5,4.2,2.6,8.1,6.1,1.2,0.8,2.8,2.8
325,Damian Jones,C,22.0,15.0,0.0,5.9,0.7,1.5,0.0,0.0,0.7,1.5,0.2,0.3,0.3,0.6,0.1,0.1,0.2,0.3,0.9
326,Derrick Jones,SF,20.0,20.0,8.0,12.3,1.1,2.7,0.2,0.9,0.9,1.8,0.8,1.2,1.1,0.9,0.5,0.2,0.7,0.4,1.2
329,Jalen Jones,SF,24.0,16.0,0.0,11.3,1.6,4.3,0.6,1.6,1.0,2.6,0.8,1.2,0.8,1.6,0.3,0.3,0.1,0.4,1.4
332,Tyus Jones,PG,21.0,82.0,11.0,17.9,1.8,4.0,0.5,1.6,1.3,2.4,0.9,1.0,0.2,1.4,2.8,1.2,0.1,0.7,1.3
333,DeAndre Jordan,C,29.0,77.0,77.0,31.5,4.8,7.5,0.0,0.0,4.8,7.5,2.4,4.1,4.3,10.9,1.5,0.5,0.9,1.8,2.6
334,Cory Joseph,PG,26.0,82.0,17.0,27.0,3.1,7.4,0.8,2.3,2.3,5.0,0.9,1.1,0.5,2.7,3.2,1.0,0.2,1.1,1.7
335,Frank Kaminsky,PF,24.0,79.0,4.0,23.2,3.9,9.1,1.3,3.5,2.6,5.6,2.0,2.5,0.6,3.1,1.6,0.5,0.2,0.8,1.2
336,Enes Kanter,C,25.0,71.0,71.0,25.8,5.9,10.0,0.0,0.0,5.9,10.0,2.2,2.6,3.8,7.1,1.5,0.5,0.5,1.7,2.6
337,Luke Kennard,SG,21.0,73.0,9.0,20.0,2.8,6.4,1.1,2.7,1.7,3.7,0.9,1.0,0.3,2.1,1.7,0.6,0.2,0.9,1.2
338,Michael Kidd-Gilchrist,SF,24.0,74.0,74.0,25.0,3.8,7.6,0.0,0.0,3.8,7.5,1.6,2.3,1.1,2.9,1.0,0.7,0.4,0.7,1.9
339,Sean Kilpatrick,SG,28.0,52.0,1.0,12.3,2.1,5.7,0.9,2.8,1.2,2.9,1.2,1.4,0.1,1.6,0.9,0.3,0.1,0.7,0.6
344,Maxi Kleber,PF,26.0,72.0,36.0,16.8,2.1,4.3,0.6,1.8,1.5,2.5,0.6,0.8,1.0,2.3,0.7,0.4,0.7,0.4,1.6
345,Furkan Korkmaz,SG,20.0,14.0,0.0,5.7,0.6,2.0,0.4,1.2,0.2,0.8,0.1,0.3,0.1,0.6,0.3,0.1,0.1,0.1,0.9
346,Luke Kornet,PF,22.0,20.0,1.0,16.3,2.5,6.3,1.4,4.0,1.1,2.3,0.4,0.6,0.6,2.7,1.3,0.3,0.8,0.6,1.4
347,Kyle Korver,SG,36.0,73.0,4.0,21.6,3.0,6.6,2.2,5.2,0.8,1.5,0.9,1.0,0.1,2.1,1.2,0.4,0.4,0.8,1.8
348,Kosta Koufos,C,28.0,71.0,13.0,19.6,3.1,5.5,0.0,0.0,3.1,5.5,0.5,1.0,2.1,4.5,1.2,0.7,0.5,0.7,2.1
349,Kyle Kuzma,PF,22.0,77.0,37.0,31.2,6.1,13.5,2.1,5.6,4.0,7.9,1.9,2.7,1.1,5.1,1.8,0.6,0.4,1.8,2.1
350,Mindaugas Kuzminskas,SF,28.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Skal Labissiere,PF,21.0,60.0,28.0,20.7,3.4,7.6,0.3,0.9,3.1,6.8,1.6,2.0,1.7,3.2,1.2,0.4,0.8,1.2,2.2
352,Jeremy Lamb,SG,25.0,80.0,18.0,24.6,4.8,10.4,1.2,3.2,3.6,7.2,2.2,2.6,0.6,3.4,2.3,0.8,0.4,1.2,1.7
353,Shane Larkin,PG,25.0,54.0,2.0,14.4,1.6,4.1,0.6,1.6,1.0,2.5,0.6,0.7,0.3,1.4,1.8,0.5,0.1,0.6,1.1
354,Joffrey Lauvergne,C,26.0,55.0,1.0,9.7,1.8,3.5,0.0,0.1,1.8,3.4,0.5,0.9,1.1,2.0,0.7,0.2,0.1,0.6,0.8
355,Zach LaVine,SG,22.0,24.0,24.0,27.3,5.7,14.8,1.8,5.1,3.9,9.7,3.6,4.5,0.4,3.5,3.0,1.0,0.2,1.8,2.3
356,Jake Layman,SF,23.0,35.0,1.0,4.6,0.4,1.3,0.1,0.6,0.3,0.8,0.1,0.1,0.1,0.3,0.3,0.2,0.1,0.1,0.4
357,T.J. Leaf,PF,20.0,53.0,0.0,8.7,1.2,2.6,0.3,0.8,0.9,1.8,0.2,0.3,0.5,1.0,0.2,0.1,0.1,0.2,0.8
358,Courtney Lee,SG,32.0,76.0,69.0,30.4,4.5,9.9,1.5,3.7,3.0,6.3,1.5,1.6,0.4,2.6,2.4,1.1,0.2,1.1,1.4
359,Damion Lee,SG,25.0,15.0,11.0,26.9,4.1,10.1,1.0,4.0,3.1,6.1,1.5,1.9,0.7,4.0,1.9,1.3,0.1,0.9,1.7
360,Walt Lemon Jr.,PG,25.0,5.0,0.0,7.0,1.4,3.2,0.2,0.2,1.2,3.0,0.4,0.6,0.0,0.4,1.0,0.0,0.2,0.8,1.0
361,Alex Len,C,24.0,69.0,13.0,20.2,3.1,5.5,0.0,0.0,3.1,5.4,2.3,3.3,2.5,5.0,1.2,0.4,0.9,1.1,2.3
362,Kawhi Leonard,SF,26.0,9.0,9.0,23.3,5.8,12.3,1.2,3.9,4.6,8.4,3.4,4.2,0.7,4.0,2.3,2.0,1.0,1.8,1.0
363,Meyers Leonard,C,25.0,33.0,2.0,7.7,1.4,2.4,0.3,0.8,1.1,1.6,0.3,0.3,0.4,1.8,0.5,0.2,0.0,0.3,1.1
364,Jon Leuer,PF,28.0,8.0,0.0,17.0,1.9,4.5,0.0,0.4,1.9,4.1,1.6,1.9,0.9,3.1,0.6,0.1,0.4,0.9,2.0
365,Caris LeVert,SF,23.0,71.0,10.0,26.3,4.5,10.4,1.2,3.5,3.3,6.9,1.9,2.6,0.7,2.9,4.2,1.2,0.3,2.2,2.2
366,DeAndre Liggins,SG,29.0,58.0,4.0,12.5,0.7,1.8,0.3,0.9,0.4,0.9,0.0,0.1,0.1,1.2,0.8,0.6,0.2,0.3,1.4
369,Damian Lillard,PG,27.0,73.0,73.0,36.6,8.5,19.4,3.1,8.6,5.4,10.8,6.8,7.4,0.8,3.6,6.6,1.1,0.4,2.8,1.6
370,Jeremy Lin,PG,29.0,1.0,1.0,25.0,5.0,12.0,1.0,2.0,4.0,10.0,7.0,7.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0
371,Shaun Livingston,PG,32.0,71.0,7.0,15.9,2.4,4.8,0.0,0.1,2.4,4.8,0.7,0.9,0.5,1.4,2.0,0.5,0.3,0.8,1.6
372,Kevon Looney,C,21.0,66.0,4.0,13.8,1.7,2.9,0.0,0.1,1.7,2.8,0.6,1.2,1.3,2.0,0.6,0.5,0.8,0.5,1.6
373,Brook Lopez,C,29.0,74.0,72.0,23.4,5.0,10.7,1.5,4.4,3.5,6.3,1.5,2.1,1.0,3.0,1.7,0.4,1.3,1.3,2.7
